bolge_id,bolge_adi,sehir,ulke,tr_vize,us_vize,fiyat_seviye,en_iyi_mevsim,l1_deniz,l1_doga,l1_tarih,l1_eglence,l1_sakin,l1_sehir_hayati,l1_macera,l1_luks,l2_kultur,l2_su_spor,l2_hava_spor,l2_doga_spor,l2_yemek,l2_fotografik,kis_spor
1,Ege Kiyilari,Bodrum,Turkiye,vizesiz,vizesiz,luks,yaz,0.920,0.080,0.212,0.900,0.180,0.080,0.080,0.820,0.080,0.479,0.080,0.080,0.080,0.080,0.080
1,Ege Kiyilari,Marmaris,Turkiye,vizesiz,vizesiz,orta,yaz,0.900,0.080,0.080,0.860,0.309,0.080,0.173,0.383,0.080,0.820,0.080,0.080,0.080,0.080,0.212
1,Ege Kiyilari,Fethiye,Turkiye,vizesiz,vizesiz,dusuk,yaz,0.860,0.780,0.080,0.080,0.393,0.080,0.880,0.206,0.080,0.399,0.950,0.487,0.080,0.080,0.080
1,Ege Kiyilari,Cesme,Turkiye,vizesiz,vizesiz,luks,yaz,0.880,0.080,0.080,0.760,0.309,0.080,0.080,0.880,0.080,0.880,0.080,0.080,0.080,0.080,0.080
1,Ege Kiyilari,Datca,Turkiye,vizesiz,vizesiz,orta,yaz,0.820,0.080,0.080,0.080,0.920,0.080,0.080,0.300,0.080,0.371,0.080,0.080,0.080,0.133,0.080
2,Akdeniz Sahili,Antalya,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.578,0.309,0.737,0.212,0.080,0.080,0.080,0.285,0.080,0.402,0.080,0.080,0.080,0.080,0.080
2,Akdeniz Sahili,Alanya,Turkiye,vizesiz,vizesiz,dusuk,yaz,0.653,0.309,0.212,0.212,0.080,0.080,0.080,0.206,0.080,0.402,0.080,0.080,0.080,0.193,0.080
2,Akdeniz Sahili,Kas,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.578,0.309,0.080,0.173,0.080,0.080,0.080,0.285,0.154,0.402,0.080,0.080,0.080,0.080,0.080
2,Akdeniz Sahili,Side,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.557,0.309,0.080,0.080,0.080,0.080,0.080,0.206,0.080,0.402,0.080,0.080,0.173,0.080,0.080
2,Akdeniz Sahili,Kemer,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.641,0.309,0.080,0.080,0.133,0.080,0.080,0.285,0.080,0.402,0.080,0.080,0.080,0.080,0.080
3,Karadeniz,Trabzon,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.721,0.614,0.080,0.415,0.173,0.212,0.206,0.379,0.080,0.080,0.422,0.173,0.433,0.080
3,Karadeniz,Uzungol,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.734,0.080,0.080,0.465,0.080,0.080,0.206,0.080,0.080,0.080,0.371,0.080,0.433,0.080
3,Karadeniz,Ayder,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.846,0.080,0.080,0.574,0.080,0.173,0.206,0.080,0.080,0.080,0.414,0.080,0.433,0.080
3,Karadeniz,Artvin,Turkiye,vizesiz,vizesiz,dusuk,kis,0.080,0.557,0.080,0.173,0.415,0.133,0.364,0.206,0.154,0.193,0.080,0.422,0.080,0.433,0.080
3,Karadeniz,Rize,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.557,0.333,0.080,0.415,0.080,0.080,0.206,0.080,0.080,0.080,0.371,0.080,0.433,0.080
4,Tarihi Turkiye,Kapadokya,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.700,0.860,0.080,0.080,0.080,0.173,0.206,0.515,0.080,0.950,0.154,0.080,0.950,0.080
4,Tarihi Turkiye,Efes,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.914,0.080,0.080,0.080,0.080,0.206,0.609,0.080,0.080,0.080,0.080,0.371,0.080
4,Tarihi Turkiye,Pamukkale,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.379,0.832,0.212,0.080,0.080,0.080,0.206,0.464,0.080,0.080,0.080,0.080,0.371,0.080
4,Tarihi Turkiye,Mardin,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.768,0.080,0.173,0.080,0.080,0.206,0.554,0.080,0.080,0.080,0.349,0.473,0.080
4,Tarihi Turkiye,Sanliurfa,Turkiye,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.626,0.080,0.080,0.080,0.080,0.206,0.464,0.080,0.080,0.080,0.080,0.371,0.080
