deniz,doga,tarih,kultur,doga_spor,su_spor,hava_spor,kis_spor,eglence,sakin,yemek,ulasim_kolayligi,fiyat,oneri_sehir,begendi,zaman
0.222,0.48,0.242,0.413,0.271,0.045,0.05,0.004,0.23,0.664,0.441,0.5,0.0,Ayvalik,1,2026-04-27T14:25:23.998007
0.231,0.494,0.15,0.807,0.289,0.051,0.0,0.017,0.55,0.65,0.715,0.5,0.0,Ayvalik,1,2026-04-27T21:15:41.313093
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Abant,1,2026-04-29T12:56:13.902799
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Kartalkaya,1,2026-04-29T12:56:13.905638
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Antalya,1,2026-04-29T12:56:13.906078
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Efes,1,2026-04-29T12:56:13.906280
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Uludag,1,2026-04-29T12:56:13.906775
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Kackarlar,0,2026-04-29T12:56:13.907105
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Ayder,0,2026-04-29T12:56:13.908046
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Uzungol,0,2026-04-29T12:56:13.908726
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Datca,0,2026-04-29T12:56:13.909935
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Sirince,0,2026-04-29T12:56:13.910636
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Alanya,0,2026-04-29T12:56:13.911742
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Fethiye,0,2026-04-29T12:56:13.913196
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Ayvalik,0,2026-04-29T12:56:13.913817
0.327,0.521,0.11,0.343,0.05,0.42,0.5,0.72,0.138,0.0,0.1,0.5,0.3,Trabzon,0,2026-04-29T12:56:13.914806
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Abant,1,2026-04-29T12:56:20.413620
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Antalya,1,2026-04-29T12:56:20.418575
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Kartalkaya,1,2026-04-29T12:56:20.419441
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Uludag,1,2026-04-29T12:56:20.420050
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Efes,1,2026-04-29T12:56:20.420895
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Sirince,0,2026-04-29T12:56:20.421883
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Ayder,0,2026-04-29T12:56:20.422573
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Uzungol,0,2026-04-29T12:56:20.423445
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Kackarlar,0,2026-04-29T12:56:20.424111
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Pamukkale,0,2026-04-29T12:56:20.425366
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Ayvalik,0,2026-04-29T12:56:20.426363
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Fethiye,0,2026-04-29T12:56:20.427237
0.204,0.308,0.249,0.294,0.251,0.262,0.283,0.398,0.149,0.085,0.1,0.452,0.48,Kapadokya,0,2026-04-29T12:56:20.428299
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Uludag,1,2026-04-29T12:57:18.862485
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Abant,1,2026-04-29T12:57:18.865070
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Antalya,1,2026-04-29T12:57:18.866698
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Kartalkaya,1,2026-04-29T12:57:18.868700
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Efes,1,2026-04-29T12:57:18.870415
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Kapadokya,0,2026-04-29T12:57:18.871077
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Sirince,0,2026-04-29T12:57:18.871666
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Pamukkale,0,2026-04-29T12:57:18.872248
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Ayvalik,0,2026-04-29T12:57:18.872978
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Palandoken,0,2026-04-29T12:57:18.873977
0.155,0.223,0.305,0.275,0.331,0.199,0.197,0.269,0.154,0.119,0.1,0.433,0.552,Istanbul,0,2026-04-29T12:57:18.875049
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Uludag,1,2026-04-29T12:57:20.721405
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Antalya,1,2026-04-29T12:57:20.724613
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Abant,1,2026-04-29T12:57:20.725676
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Kartalkaya,1,2026-04-29T12:57:20.726668
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Efes,1,2026-04-29T12:57:20.728268
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Kapadokya,0,2026-04-29T12:57:20.729044
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Pamukkale,0,2026-04-29T12:57:20.729659
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Sirince,0,2026-04-29T12:57:20.730148
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Palandoken,0,2026-04-29T12:57:20.730708
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Istanbul,0,2026-04-29T12:57:20.731212
0.136,0.189,0.327,0.267,0.363,0.173,0.162,0.218,0.156,0.133,0.1,0.425,0.581,Ayvalik,0,2026-04-29T12:57:20.731827
0.285,0.639,0.109,0.398,0.011,0.5,0.1,0.806,0.12,0.0,0.95,0.5,0.425,Ayder,1,2026-04-29T12:59:24.606261
0.285,0.639,0.109,0.398,0.011,0.5,0.1,0.806,0.12,0.0,0.95,0.5,0.425,Abant,1,2026-04-29T12:59:24.607076
0.285,0.639,0.109,0.398,0.011,0.5,0.1,0.806,0.12,0.0,0.95,0.5,0.425,Trabzon,1,2026-04-29T12:59:24.607959
0.285,0.639,0.109,0.398,0.011,0.5,0.1,0.806,0.12,0.0,0.95,0.5,0.425,Datca,1,2026-04-29T12:59:24.608439
0.285,0.639,0.109,0.398,0.011,0.5,0.1,0.806,0.12,0.0,0.95,0.5,0.425,Sirince,1,2026-04-29T12:59:24.608951
0.285,0.639,0.109,0.398,0.011,0.5,0.1,0.806,0.12,0.0,0.95,0.5,0.425,Kackarlar,0,2026-04-29T12:59:24.609526
0.285,0.639,0.109,0.398,0.011,0.5,0.1,0.806,0.12,0.0,0.95,0.5,0.425,Uzungol,0,2026-04-29T12:59:24.609909
0.285,0.639,0.109,0.398,0.011,0.5,0.1,0.806,0.12,0.0,0.95,0.5,0.425,Ayvalik,0,2026-04-29T12:59:24.610217
0.285,0.639,0.109,0.398,0.011,0.5,0.1,0.806,0.12,0.0,0.95,0.5,0.425,Fethiye,0,2026-04-29T12:59:24.610586
0.285,0.639,0.109,0.398,0.011,0.5,0.1,0.806,0.12,0.0,0.95,0.5,0.425,Alanya,0,2026-04-29T12:59:24.610897
0.28,0.664,0.064,0.429,0.061,0.5,0.5,0.796,0.12,0.0,0.95,0.5,0.485,Kackarlar,1,2026-04-29T14:22:08.500531
0.28,0.664,0.064,0.429,0.061,0.5,0.5,0.796,0.12,0.0,0.95,0.5,0.485,Uzungol,1,2026-04-29T14:22:08.503787
0.28,0.664,0.064,0.429,0.061,0.5,0.5,0.796,0.12,0.0,0.95,0.5,0.485,Trabzon,1,2026-04-29T14:22:08.504716
0.28,0.664,0.064,0.429,0.061,0.5,0.5,0.796,0.12,0.0,0.95,0.5,0.485,Ayder,0,2026-04-29T14:22:08.505386
0.28,0.664,0.064,0.429,0.061,0.5,0.5,0.796,0.12,0.0,0.95,0.5,0.485,Abant,0,2026-04-29T14:22:08.505856
0.28,0.664,0.064,0.429,0.061,0.5,0.5,0.796,0.12,0.0,0.95,0.5,0.485,Ayvalik,0,2026-04-29T14:22:08.506625
0.28,0.664,0.064,0.429,0.061,0.5,0.5,0.796,0.12,0.0,0.95,0.5,0.485,Fethiye,0,2026-04-29T14:22:08.507382
0.28,0.664,0.064,0.429,0.061,0.5,0.5,0.796,0.12,0.0,0.95,0.5,0.485,Sirince,0,2026-04-29T14:22:08.508128
0.28,0.664,0.064,0.429,0.061,0.5,0.5,0.796,0.12,0.0,0.95,0.5,0.485,Datca,0,2026-04-29T14:22:08.508804
0.28,0.664,0.064,0.429,0.061,0.5,0.5,0.796,0.12,0.0,0.95,0.5,0.485,Kapadokya,0,2026-04-29T14:22:08.509121
0.187,0.744,0.169,0.384,0.084,0.26,0.26,0.472,0.108,0.085,0.494,0.4,0.294,Ayvalik,1,2026-04-29T14:22:56.927626
0.187,0.744,0.169,0.384,0.084,0.26,0.26,0.472,0.108,0.085,0.494,0.4,0.294,Fethiye,1,2026-04-29T14:22:56.928586
0.187,0.744,0.169,0.384,0.084,0.26,0.26,0.472,0.108,0.085,0.494,0.4,0.294,Sirince,1,2026-04-29T14:22:56.930832
0.187,0.744,0.169,0.384,0.084,0.26,0.26,0.472,0.108,0.085,0.494,0.4,0.294,Pamukkale,1,2026-04-29T14:22:56.932038
0.187,0.744,0.169,0.384,0.084,0.26,0.26,0.472,0.108,0.085,0.494,0.4,0.294,Kapadokya,1,2026-04-29T14:22:56.932669
0.187,0.744,0.169,0.384,0.084,0.26,0.26,0.472,0.108,0.085,0.494,0.4,0.294,Kackarlar,0,2026-04-29T14:22:56.933444
0.187,0.744,0.169,0.384,0.084,0.26,0.26,0.472,0.108,0.085,0.494,0.4,0.294,Uzungol,0,2026-04-29T14:22:56.934014
0.187,0.744,0.169,0.384,0.084,0.26,0.26,0.472,0.108,0.085,0.494,0.4,0.294,Ayder,0,2026-04-29T14:22:56.938852
