id,sehir,region_id,country,visa_free,deniz,doga,tarih,kultur,doga_spor,su_spor,hava_spor,kis_spor,eglence,sakin,yemek,ulasim_kolayligi,fiyat,mevsim
Bodrum,Bodrum,region_01_ege_kiyilari,Turkiye,True,0.92,0.08,0.212,0.08,0.08,0.479,0.08,0.08,0.9,0.18,0.08,0.242,0.82,0
Marmaris,Marmaris,region_01_ege_kiyilari,Turkiye,True,0.9,0.08,0.08,0.08,0.106,0.82,0.08,0.212,0.86,0.309,0.08,0.242,0.383,0
Fethiye,Fethiye,region_01_ege_kiyilari,Turkiye,True,0.86,0.78,0.08,0.08,0.597,0.399,0.95,0.08,0.08,0.393,0.08,0.242,0.206,0
Cesme,Cesme,region_01_ege_kiyilari,Turkiye,True,0.88,0.08,0.08,0.08,0.08,0.88,0.08,0.08,0.76,0.309,0.08,0.242,0.88,0
Datca,Datca,region_01_ege_kiyilari,Turkiye,True,0.82,0.08,0.08,0.08,0.08,0.371,0.08,0.08,0.08,0.92,0.08,0.242,0.3,0
Antalya,Antalya,region_02_akdeniz_sahili,Turkiye,True,0.578,0.309,0.737,0.08,0.08,0.402,0.08,0.08,0.212,0.08,0.08,0.242,0.285,2
Alanya,Alanya,region_02_akdeniz_sahili,Turkiye,True,0.653,0.309,0.212,0.08,0.08,0.402,0.08,0.08,0.212,0.08,0.08,0.242,0.206,0
Kas,Kas,region_02_akdeniz_sahili,Turkiye,True,0.578,0.309,0.08,0.154,0.08,0.402,0.08,0.08,0.173,0.08,0.08,0.242,0.285,2
Side,Side,region_02_akdeniz_sahili,Turkiye,True,0.557,0.309,0.08,0.08,0.08,0.402,0.08,0.08,0.08,0.08,0.173,0.242,0.206,2
Kemer,Kemer,region_02_akdeniz_sahili,Turkiye,True,0.641,0.309,0.08,0.08,0.08,0.402,0.08,0.08,0.08,0.133,0.08,0.242,0.285,2
Trabzon,Trabzon,region_03_karadeniz,Turkiye,True,0.08,0.721,0.614,0.379,0.363,0.08,0.08,0.08,0.08,0.415,0.173,0.315,0.206,2
Uzungol,Uzungol,region_03_karadeniz,Turkiye,True,0.08,0.734,0.08,0.08,0.58,0.08,0.08,0.08,0.08,0.465,0.42,0.242,0.206,2
Ayder,Ayder,region_03_karadeniz,Turkiye,True,0.08,0.846,0.08,0.08,0.347,0.08,0.08,0.08,0.08,0.574,0.08,0.242,0.206,2
Artvin,Artvin,region_03_karadeniz,Turkiye,True,0.08,0.557,0.08,0.154,0.406,0.193,0.08,0.08,0.173,0.415,0.08,0.284,0.206,1
Rize,Rize,region_03_karadeniz,Turkiye,True,0.08,0.557,0.333,0.08,0.29,0.08,0.08,0.08,0.08,0.415,0.08,0.242,0.206,2
Kapadokya,Kapadokya,region_04_tarihi_turkiye,Turkiye,True,0.08,0.7,0.86,0.515,0.159,0.08,0.95,0.08,0.08,0.08,0.08,0.242,0.206,2
Efes,Efes,region_04_tarihi_turkiye,Turkiye,True,0.08,0.45,0.914,0.609,0.08,0.08,0.08,0.08,0.08,0.55,0.08,0.242,0.206,2
Pamukkale,Pamukkale,region_04_tarihi_turkiye,Turkiye,True,0.08,0.379,0.832,0.464,0.08,0.08,0.08,0.08,0.212,0.08,0.08,0.242,0.206,2
Mardin,Mardin,region_04_tarihi_turkiye,Turkiye,True,0.08,0.08,0.768,0.554,0.08,0.08,0.08,0.08,0.08,0.173,0.349,0.242,0.206,2
Sanliurfa,Sanliurfa,region_04_tarihi_turkiye,Turkiye,True,0.08,0.08,0.626,0.464,0.08,0.08,0.08,0.08,0.08,0.48,0.72,0.242,0.206,2
Istanbul,Istanbul,region_05_turkiye_sehirleri,Turkiye,True,0.08,0.08,0.95,0.95,0.08,0.08,0.08,0.08,0.08,0.08,0.88,0.921,0.2,2
Izmir,Izmir,region_05_turkiye_sehirleri,Turkiye,True,0.08,0.08,0.08,0.415,0.08,0.08,0.08,0.08,0.08,0.08,0.39,0.568,0.2,2
Gaziantep,Gaziantep,region_05_turkiye_sehirleri,Turkiye,True,0.08,0.08,0.586,0.72,0.08,0.08,0.08,0.08,0.08,0.08,0.98,0.552,0.25,2
Bursa,Bursa,region_05_turkiye_sehirleri,Turkiye,True,0.08,0.08,0.449,0.415,0.08,0.08,0.08,0.08,0.08,0.08,0.39,0.591,0.2,2
Ankara,Ankara,region_05_turkiye_sehirleri,Turkiye,True,0.08,0.08,0.08,0.415,0.08,0.08,0.08,0.08,0.08,0.08,0.39,0.568,0.2,2
Kotor,Kotor,region_06_balkanlar,Karadag,True,0.08,0.08,0.433,0.433,0.08,0.08,0.08,0.08,0.08,0.309,0.08,0.242,0.17,2
Mostar,Mostar,region_06_balkanlar,Bosna Hersek,True,0.08,0.08,0.433,0.433,0.08,0.08,0.08,0.08,0.08,0.309,0.08,0.284,0.17,2
Tiran,Tiran,region_06_balkanlar,Arnavutluk,True,0.08,0.08,0.433,0.433,0.08,0.08,0.08,0.08,0.08,0.309,0.08,0.452,0.17,2
Beograd,Beograd,region_06_balkanlar,Sirbistan,True,0.08,0.08,0.433,0.433,0.08,0.08,0.08,0.08,0.08,0.309,0.08,0.667,0.17,2
Uskup,Uskup,region_06_balkanlar,Kuzey Makedonya,True,0.08,0.08,0.469,0.433,0.08,0.08,0.08,0.08,0.08,0.309,0.08,0.519,0.17,2
Baku,Baku,region_07_kafkasya_ve_ipek_yolu,Azerbaycan,True,0.08,0.08,0.464,0.477,0.08,0.08,0.08,0.08,0.08,0.08,0.34,0.374,0.161,2
Tiflis,Tiflis,region_07_kafkasya_ve_ipek_yolu,Gurcistan,True,0.08,0.08,0.464,0.477,0.08,0.08,0.08,0.08,0.08,0.08,0.34,0.374,0.161,2
Semerkant,Semerkant,region_07_kafkasya_ve_ipek_yolu,Ozbekistan,True,0.08,0.08,0.464,0.477,0.08,0.08,0.08,0.08,0.08,0.08,0.34,0.284,0.161,2
Buhara,Buhara,region_07_kafkasya_ve_ipek_yolu,Ozbekistan,True,0.08,0.08,0.507,0.477,0.08,0.08,0.08,0.08,0.08,0.08,0.34,0.374,0.161,2
Taskent,Taskent,region_07_kafkasya_ve_ipek_yolu,Ozbekistan,True,0.08,0.08,0.464,0.477,0.08,0.08,0.08,0.08,0.08,0.08,0.34,0.284,0.161,2
Marakes,Marakes,region_08_kuzey_afrika,Fas,True,0.08,0.08,0.477,0.477,0.08,0.08,0.08,0.08,0.55,0.08,0.75,0.284,0.161,2
Fes,Fes,region_08_kuzey_afrika,Fas,True,0.08,0.08,0.477,0.477,0.08,0.08,0.08,0.08,0.08,0.52,0.68,0.284,0.161,2
Tunus,Tunus,region_08_kuzey_afrika,Tunus,True,0.58,0.08,0.699,0.477,0.08,0.08,0.08,0.08,0.08,0.08,0.58,0.242,0.161,0
Sidi Bou Said,Sidi Bou Said,region_08_kuzey_afrika,Tunus,True,0.65,0.08,0.52,0.477,0.08,0.08,0.08,0.08,0.08,0.82,0.08,0.284,0.161,2
Kairouan,Kairouan,region_08_kuzey_afrika,Tunus,True,0.08,0.08,0.52,0.477,0.08,0.08,0.08,0.193,0.08,0.68,0.42,0.284,0.161,1
Tokyo,Tokyo,region_09_japonya_ve_guney_kore,Japonya,True,0.08,0.08,0.08,0.88,0.08,0.08,0.08,0.08,0.78,0.08,0.82,0.921,0.206,2
Kyoto,Kyoto,region_09_japonya_ve_guney_kore,Japonya,True,0.08,0.08,0.92,0.95,0.08,0.08,0.08,0.08,0.08,0.6,0.415,0.696,0.206,2
Osaka,Osaka,region_09_japonya_ve_guney_kore,Japonya,True,0.08,0.112,0.08,0.495,0.08,0.08,0.08,0.08,0.173,0.08,0.415,0.616,0.206,2
Seoul,Seoul,region_09_japonya_ve_guney_kore,Guney Kore,True,0.08,0.08,0.08,0.495,0.08,0.08,0.08,0.08,0.08,0.08,0.415,0.582,0.206,2
Busan,Busan,region_09_japonya_ve_guney_kore,Guney Kore,True,0.08,0.08,0.08,0.495,0.08,0.08,0.08,0.08,0.08,0.08,0.415,0.566,0.206,2
Singapur,Singapur,region_10_singapur_ve_malezya,Singapur,True,0.08,0.08,0.08,0.39,0.08,0.08,0.08,0.08,0.08,0.08,0.433,0.566,0.206,2
